"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
129306,29,"English (American)","WS","Third","Hispanic","Female",NA,"L159",TRUE,FALSE,"Marchman","Secondary","production",201,TRUE,"All Data",4867,"All Data (n = 4867)"
129307,23,"English (American)","WS","Third","Other","Female",NA,"L160",TRUE,FALSE,"Marchman","Some College","production",25,TRUE,"All Data",4867,"All Data (n = 4867)"
129308,18,"English (American)","WS","Second","Hispanic","Male",NA,"L164",TRUE,FALSE,"Marchman","Some Secondary","production",11,TRUE,"All Data",4867,"All Data (n = 4867)"
129309,24,"English (American)","WS","Seventh","Other","Female",NA,"L165",TRUE,FALSE,"Marchman","Some College","production",219,TRUE,"All Data",4867,"All Data (n = 4867)"
129310,29,"English (American)","WS","Third","Hispanic","Female",NA,"L166",TRUE,FALSE,"Marchman","Some College","production",338,TRUE,"All Data",4867,"All Data (n = 4867)"
129311,25,"English (American)","WS","Second","Black","Male",NA,"L171",TRUE,FALSE,"Marchman","Secondary","production",220,TRUE,"All Data",4867,"All Data (n = 4867)"
129312,30,"English (American)","WS","Third","Black","Male",NA,"L172",TRUE,FALSE,"Marchman","Some Secondary","production",643,TRUE,"All Data",4867,"All Data (n = 4867)"
129313,25,"English (American)","WS","Second","Hispanic","Male",NA,"L173",TRUE,FALSE,"Marchman","Secondary","production",229,TRUE,"All Data",4867,"All Data (n = 4867)"
129314,21,"English (American)","WS","Second","Black","Female",NA,"L174",TRUE,FALSE,"Marchman","Some College","production",264,TRUE,"All Data",4867,"All Data (n = 4867)"
129315,24,"English (American)","WS","Second","Other","Female",NA,"L178",TRUE,FALSE,"Marchman","Some Secondary","production",165,TRUE,"All Data",4867,"All Data (n = 4867)"
129316,28,"English (American)","WS","Second","Other","Male",NA,"L179",TRUE,FALSE,"Marchman","Some Secondary","production",320,TRUE,"All Data",4867,"All Data (n = 4867)"
129317,26,"English (American)","WS","Fourth","Other","Male",NA,"L183",TRUE,FALSE,"Marchman","Secondary","production",532,TRUE,"All Data",4867,"All Data (n = 4867)"
129318,29,"English (American)","WS","Third","White","Female",NA,"L189",TRUE,FALSE,"Marchman","Some Secondary","production",44,TRUE,"All Data",4867,"All Data (n = 4867)"
129319,21,"English (American)","WS","Second","White","Male",NA,"L190",TRUE,FALSE,"Marchman","Secondary","production",13,TRUE,"All Data",4867,"All Data (n = 4867)"
129320,23,"English (American)","WS","Second","Other","Male",NA,"L191",TRUE,FALSE,"Marchman","Secondary","production",535,TRUE,"All Data",4867,"All Data (n = 4867)"
129321,27,"English (American)","WS","Third","Black","Male",NA,"L194",TRUE,FALSE,"Marchman","Some Secondary","production",132,TRUE,"All Data",4867,"All Data (n = 4867)"
129322,25,"English (American)","WS","Second","White","Female",NA,"L197",TRUE,FALSE,"Marchman","Secondary","production",671,TRUE,"All Data",4867,"All Data (n = 4867)"
129323,20,"English (American)","WS","Second","Asian","Female",NA,"L200",TRUE,FALSE,"Marchman","Some College","production",20,TRUE,"All Data",4867,"All Data (n = 4867)"
129324,28,"English (American)","WS","Third","Other","Male",NA,"L201",TRUE,FALSE,"Marchman","Some Secondary","production",193,TRUE,"All Data",4867,"All Data (n = 4867)"
129325,22,"English (American)","WS","Third","White","Male",NA,"L202",TRUE,FALSE,"Marchman","Secondary","production",362,TRUE,"All Data",4867,"All Data (n = 4867)"
129326,29,"English (American)","WS","Second","Other","Male",NA,"L203",TRUE,FALSE,"Marchman","Some College","production",462,TRUE,"All Data",4867,"All Data (n = 4867)"
129327,28,"English (American)","WS","Second","Black","Female",NA,"L205",TRUE,FALSE,"Marchman","Secondary","production",414,TRUE,"All Data",4867,"All Data (n = 4867)"
129328,21,"English (American)","WS","Third","Other","Male",NA,"L300",TRUE,FALSE,"Marchman","Some College","production",149,TRUE,"All Data",4867,"All Data (n = 4867)"
129329,27,"English (American)","WS","Second","Hispanic","Female",NA,"L309",TRUE,FALSE,"Marchman","Some Secondary","production",224,TRUE,"All Data",4867,"All Data (n = 4867)"
129330,25,"English (American)","WS","Second","Black","Male",NA,"L312",TRUE,FALSE,"Marchman","Some College","production",296,TRUE,"All Data",4867,"All Data (n = 4867)"
129331,17,"English (American)","WS","Second","Black","Male",NA,"L316",TRUE,FALSE,"Marchman","Secondary","production",319,TRUE,"All Data",4867,"All Data (n = 4867)"
129332,25,"English (American)","WS","Second","Other","Male",NA,"L321",TRUE,FALSE,"Marchman","Secondary","production",407,TRUE,"All Data",4867,"All Data (n = 4867)"
129333,30,"English (American)","WS","Second","Other","Female",NA,"L322",TRUE,FALSE,"Marchman","Secondary","production",514,TRUE,"All Data",4867,"All Data (n = 4867)"
129334,26,"English (American)","WS","Fourth","Black","Male",NA,"L323",TRUE,FALSE,"Marchman","Secondary","production",270,TRUE,"All Data",4867,"All Data (n = 4867)"
129335,25,"English (American)","WS","Second","Hispanic","Female",NA,"L325",TRUE,FALSE,"Marchman","Some Secondary","production",395,TRUE,"All Data",4867,"All Data (n = 4867)"
129336,24,"English (American)","WS","Second","Black","Male",NA,"L336",TRUE,FALSE,"Marchman","Some College","production",517,TRUE,"All Data",4867,"All Data (n = 4867)"
129337,18,"English (American)","WS","Second","Hispanic","Male",NA,"L339",TRUE,FALSE,"Marchman","Secondary","production",293,TRUE,"All Data",4867,"All Data (n = 4867)"
129338,18,"English (American)","WS","Fifth","Hispanic","Male",NA,"L340",TRUE,FALSE,"Marchman","Some Secondary","production",1,TRUE,"All Data",4867,"All Data (n = 4867)"
129339,21,"English (American)","WS","Second","Hispanic","Female",NA,"L344",TRUE,FALSE,"Marchman","Some Secondary","production",183,TRUE,"All Data",4867,"All Data (n = 4867)"
129340,22,"English (American)","WS","Third","Hispanic","Male",NA,"L346",TRUE,FALSE,"Marchman","Secondary","production",31,TRUE,"All Data",4867,"All Data (n = 4867)"
129341,27,"English (American)","WS","Second","Hispanic","Female",NA,"L350",TRUE,FALSE,"Marchman","Primary","production",150,TRUE,"All Data",4867,"All Data (n = 4867)"
129342,21,"English (American)","WS","Second","Hispanic","Male",NA,"L351",TRUE,FALSE,"Marchman","Secondary","production",139,TRUE,"All Data",4867,"All Data (n = 4867)"
129343,20,"English (American)","WS","Third","Other","Female",NA,"L360",TRUE,FALSE,"Marchman","Some College","production",118,TRUE,"All Data",4867,"All Data (n = 4867)"
129344,24,"English (American)","WS","Second","Other","Female",NA,"L362",TRUE,FALSE,"Marchman","Some College","production",371,TRUE,"All Data",4867,"All Data (n = 4867)"
129345,29,"English (American)","WS","Fourth","Hispanic","Female",NA,"L365",TRUE,FALSE,"Marchman","Some College","production",611,TRUE,"All Data",4867,"All Data (n = 4867)"
129346,25,"English (American)","WS","Second","Other","Female",NA,"L366",TRUE,FALSE,"Marchman","Secondary","production",144,TRUE,"All Data",4867,"All Data (n = 4867)"
129347,19,"English (American)","WS","Fourth","Black","Female",NA,"L368",TRUE,FALSE,"Marchman","Some College","production",225,TRUE,"All Data",4867,"All Data (n = 4867)"
129348,27,"English (American)","WS","Second","Other","Male",NA,"L376",TRUE,FALSE,"Marchman","Secondary","production",144,TRUE,"All Data",4867,"All Data (n = 4867)"
129349,24,"English (American)","WS","Second","Other","Male",NA,"L378",TRUE,FALSE,"Marchman","Some Secondary","production",177,TRUE,"All Data",4867,"All Data (n = 4867)"
129350,27,"English (American)","WS","Fifth","Black","Male",NA,"L381",TRUE,FALSE,"Marchman","Secondary","production",228,TRUE,"All Data",4867,"All Data (n = 4867)"
129351,29,"English (American)","WS","Second","Black","Male",NA,"L382",TRUE,FALSE,"Marchman","Some Secondary","production",286,TRUE,"All Data",4867,"All Data (n = 4867)"
129352,20,"English (American)","WS","Fourth","Other","Female",NA,"L383",TRUE,FALSE,"Marchman","Some College","production",141,TRUE,"All Data",4867,"All Data (n = 4867)"
129353,27,"English (American)","WS","Third","Other","Male",NA,"L395",TRUE,FALSE,"Marchman","Secondary","production",124,TRUE,"All Data",4867,"All Data (n = 4867)"
129354,22,"English (American)","WS","Third","Other","Male",NA,"L405",TRUE,FALSE,"Marchman","Some Secondary","production",272,TRUE,"All Data",4867,"All Data (n = 4867)"
129355,17,"English (American)","WS","Third","White","Male",NA,"L407",TRUE,FALSE,"Marchman","Some College","production",67,TRUE,"All Data",4867,"All Data (n = 4867)"
129356,27,"English (American)","WS","Second","White","Male",NA,"L409",TRUE,FALSE,"Marchman","Some Secondary","production",555,TRUE,"All Data",4867,"All Data (n = 4867)"
129357,19,"English (American)","WS","Second","White","Male",NA,"L416",TRUE,FALSE,"Marchman","Secondary","production",32,TRUE,"All Data",4867,"All Data (n = 4867)"
129358,28,"English (American)","WS","Second","Hispanic","Female",NA,"L500",TRUE,FALSE,"Marchman","Secondary","production",189,TRUE,"All Data",4867,"All Data (n = 4867)"
129359,25,"English (American)","WS","Fifth","Black","Female",NA,"L512",TRUE,FALSE,"Marchman","Some College","production",321,TRUE,"All Data",4867,"All Data (n = 4867)"
129360,23,"English (American)","WS","Fourth","Hispanic","Female",NA,"L513",TRUE,FALSE,"Marchman","Secondary","production",233,TRUE,"All Data",4867,"All Data (n = 4867)"
129361,22,"English (American)","WS","Third","White","Male",NA,"L514",TRUE,FALSE,"Marchman","Some College","production",21,TRUE,"All Data",4867,"All Data (n = 4867)"
129362,29,"English (American)","WS","Second","White","Female",NA,"L515",TRUE,FALSE,"Marchman","Some College","production",186,TRUE,"All Data",4867,"All Data (n = 4867)"
129363,20,"English (American)","WS","Second","Other","Male",NA,"L526",TRUE,FALSE,"Marchman","Secondary","production",173,TRUE,"All Data",4867,"All Data (n = 4867)"
129364,22,"English (American)","WS","Third","Hispanic","Male",NA,"L527",TRUE,FALSE,"Marchman","Some College","production",121,TRUE,"All Data",4867,"All Data (n = 4867)"
129365,20,"English (American)","WS","Third","Other","Male",NA,"L528",TRUE,FALSE,"Marchman","Some Secondary","production",62,TRUE,"All Data",4867,"All Data (n = 4867)"
129366,27,"English (American)","WS","Fourth","Hispanic","Female",NA,"L532",TRUE,FALSE,"Marchman","Secondary","production",457,TRUE,"All Data",4867,"All Data (n = 4867)"
129367,21,"English (American)","WS","Third","White","Female",NA,"L540",TRUE,FALSE,"Marchman","Some College","production",18,TRUE,"All Data",4867,"All Data (n = 4867)"
129368,28,"English (American)","WS","Third","Other","Female",NA,"L541",TRUE,FALSE,"Marchman","Some College","production",361,TRUE,"All Data",4867,"All Data (n = 4867)"
129369,21,"English (American)","WS","Third","Other","Female",NA,"L547",TRUE,FALSE,"Marchman","Primary","production",3,TRUE,"All Data",4867,"All Data (n = 4867)"
129370,23,"English (American)","WS","Third","Black","Male",NA,"L548",TRUE,FALSE,"Marchman","Secondary","production",175,TRUE,"All Data",4867,"All Data (n = 4867)"
129371,20,"English (American)","WS","Fourth","Hispanic","Male",NA,"L551",TRUE,FALSE,"Marchman","Some Secondary","production",59,TRUE,"All Data",4867,"All Data (n = 4867)"
129372,29,"English (American)","WS","Fifth","White","Female",NA,"L562",TRUE,FALSE,"Marchman","Some College","production",182,TRUE,"All Data",4867,"All Data (n = 4867)"
129373,26,"English (American)","WS","Second","Hispanic","Male",NA,"L563",TRUE,FALSE,"Marchman","Some Secondary","production",458,TRUE,"All Data",4867,"All Data (n = 4867)"
129374,17,"English (American)","WS","Second","Hispanic","Female",NA,"L565",TRUE,FALSE,"Marchman","Some College","production",11,TRUE,"All Data",4867,"All Data (n = 4867)"
129375,25,"English (American)","WS","Second","White","Female",NA,"L566",TRUE,FALSE,"Marchman","Secondary","production",87,TRUE,"All Data",4867,"All Data (n = 4867)"
